shift_id,employee_id,employ_name,shift_time ,shift_date,request_status,swap_with ,reason ,Level 
6945810682,3238095048,Kacy Tallant,evening,9/25/2022,Declined,Briana Durand,Vacation plans,3
8415115806,4334559077,Cary Doding,evening,6/17/2023,Completed,Sapphire Prestage,Traffic congestion,3
3398508367,2188083199,Shaylyn Cardew,evening,10/1/2022,Processing,Allison Coard,Overtime at another job,2
8628909958,5909346768,Dolley Medford,evening,5/23/2023,Processing,Dom Semonin,Family celebration,1
5523936383,9792185437,Aubrette Giddons,evening,2/23/2023,Processing,Ransom O'Fihillie,Personal appointment,2
1127391879,3853767796,Kimberlee Ormonde,evening,4/9/2023,Declined,Corie Aberdalgy,Illness,2
7184603494,0664481973,Ross Brasener,evening,3/23/2023,Declined,Cayla Wharfe,Family celebration,3
8544182224,0720688191,Koressa Hance,morning,5/7/2023,Processing,Whitman Thresher,Childcare responsibilities,1
8988596471,3846168408,Leeland Jakaway,evening,10/11/2022,Declined,Ninette Sorey,Illness,1
6203826324,2673415009,Lavina MacPake,evening,10/4/2022,Processing,Marion Vasin,Doctor's orders,1
0010615229,0703759221,Gerianna April,morning,4/26/2023,Processing,Vittorio Standfield,Childcare responsibilities,2
7179536288,2823149228,Mel Scampion,morning,12/4/2022,Declined,Celene Durrell,Family celebration,1
0958262721,9699858052,Ginger Burgoin,morning,5/28/2023,Declined,Edita Celli,Personal appointment,1
5884036396,1141676737,Marty Lombard,morning,12/15/2022,Pending,Desiri Cleevely,School obligations,1
3466680816,0430037325,Constancy Leagas,morning,9/14/2022,Completed,Marney Harley,Vacation plans,2
7256094132,3597498701,Halie Drains,morning,6/22/2023,Approved,Nicol Chopin,Doctor's orders,1
3053342847,6949276001,Sergio Ragate,morning,2/16/2023,Completed,Gerri Renneke,Shift conflicts with another job,2
8003689252,0633012890,Penny Westfalen,evening,2/14/2023,Declined,Rhianna Marqyes,Personal appointment,1
0095118470,0276381432,Charis McArtan,morning,9/6/2022,Completed,Hugibert Kolodziej,School obligations,1
3987174692,1349323950,Cassandry Woolham,morning,10/20/2022,Processing,Alejandra Brehaut,Transportation issues,2
7788706787,6336996336,Geri Marcinkus,morning,10/22/2022,Declined,Lilly Billam,Late shift at current job,1
2387023099,4937349007,Trude Aizikowitz,evening,1/23/2023,Completed,Cris Saffen,Unforeseen medical appointment,3
4239659973,2192141289,Nady Allibone,morning,3/16/2023,Pending,Saundra Polding,Religious observance,3
1213545994,5517172512,Price Horrigan,evening,3/7/2023,Completed,Ivory Berling,Shift conflicts with another job,1
4138357149,7634451606,Doro Feehely,evening,8/26/2022,Approved,Tobe Feirn,Deadline for a project,2
9600349916,4093075956,Preston Mangham,morning,3/17/2023,Pending,Belicia Pinch,Emergency home repair,1
5892658015,5238540639,Yance McGlade,evening,5/24/2023,Pending,Lucky Quakley,Late shift at current job,3
3573584551,8471573768,Bee Scrivinor,morning,12/21/2022,Declined,Gennie McCreery,Workshop or training session,3
3442870143,3674158221,Tymon Hughlock,morning,6/14/2023,Processing,Jillane Colborn,Scheduling error,2
5255743356,5481098180,Marris Wenger,evening,9/26/2022,Pending,Louella Glentz,Unforeseen medical appointment,1
3386622445,7870976342,Matthias Coggins,evening,4/7/2023,Completed,Cyndie Sermin,Volunteer commitment,1
6263290943,4352087947,Tamra Orgel,morning,8/3/2023,Processing,Terrel Skehan,School obligations,1
5612340095,5145061315,Nona Guidera,evening,3/13/2023,Pending,Eb Agutter,Personal appointment,3
6357345709,7439884213,Ellis Conew,morning,3/6/2023,Processing,Dyane Gogin,Volunteer commitment,1
1149648155,4847788133,Madlen Yearns,evening,7/8/2023,Approved,Teador Gorusso,Last-minute travel,3
4222460516,3045193188,Franciskus McKeveney,evening,5/6/2023,Pending,Olin Greedy,Shift conflicts with another job,1
4504342332,3203338076,Dyna Mengue,evening,2/5/2023,Pending,Mona Daynter,Traffic congestion,2
2146089474,5484436079,Caryl Lyptrit,morning,5/9/2023,Approved,Kaleb McEntagart,Attending a special event,3
8466467912,0208140921,Isis Wenger,evening,8/18/2023,Declined,Karalynn Wrathmell,Late shift at current job,2
3357250543,7280092853,Celestyn Dear,evening,3/22/2023,Declined,Augustina Brenard,Attending a special event,1
2182959335,6962423950,Estelle Barehead,morning,9/18/2022,Declined,Cullie Glyne,Doctor's orders,3
3538456682,2562046323,Whitman Welbelove,evening,6/14/2023,Pending,Murdoch Haking,Emergency home repair,1
0910185476,2361640392,Doralin Siemandl,evening,7/8/2023,Completed,Glyn Mardee,Family emergency,1
3481854765,6346271865,Krista Board,morning,4/23/2023,Processing,Vivianna Heinle,Unforeseen medical appointment,1
7707200209,7754116073,Codi Lawlie,morning,6/21/2023,Approved,Cinda Truscott,Volunteer commitment,3
2498142258,0187186324,Linette Ditt,morning,5/31/2023,Declined,Wyndham Ferrie,Unexpected car breakdown,3
9699645571,1244254053,Katha Bullock,evening,8/19/2023,Completed,Leonie Michelmore,Deadline for a project,2
4653447438,8853066903,Mil Lantiffe,evening,5/16/2023,Completed,Cristina Belham,Shift conflicts with another job,3
9792033572,1450817653,Philip Hunnicutt,morning,6/23/2023,Approved,Indira Colville,School obligations,3
8966048080,3547879728,Georgiana Tappington,evening,4/12/2023,Approved,Brenna Scrimshaw,Deadline for a project,2
4332212142,2351534840,Tania Reckus,evening,3/25/2023,Declined,Doralynne Orange,Doctor's orders,2
6992544551,1138996912,Gareth Shalloo,morning,9/24/2022,Approved,Cordie Storkes,Transportation issues,2
6636170840,8071627623,Cynde Adamson,evening,9/19/2022,Approved,Odell Garment,Unexpected car breakdown,1
3042193195,7751098066,Dorelle Hyde-Chambers,morning,5/19/2023,Completed,Hali Garfitt,Scheduling error,1
9648392811,9692583112,Elysee Perkins,evening,1/14/2023,Declined,Skippy Walbrun,Emergency home repair,2
3165184712,7551872086,Alvin Mullin,morning,1/15/2023,Approved,Tonie Glenfield,Overtime at another job,1
2126183947,7155863076,Say Workman,morning,6/11/2023,Approved,Loria McCrachen,Overtime at another job,3
8901244144,9591608551,Natty Scane,morning,3/29/2023,Completed,Tannie Menguy,Vacation plans,2
8723169729,9335415146,Raffarty Collcutt,morning,10/7/2022,Pending,Amelia Geipel,Shift conflicts with another job,2
2045443426,0565739530,Tucky Delhay,evening,6/13/2023,Pending,Gradey Ridler,Family emergency,3
6705221763,5440157603,Kareem Chaston,morning,3/15/2023,Pending,Jennilee Doumerque,Unforeseen medical appointment,1
5603698683,0852883137,Myra Scholar,morning,12/15/2022,Processing,Alia Bousquet,Shift conflicts with another job,1
6775056362,1062328981,Elsworth Bissatt,evening,10/22/2022,Declined,Olwen Skill,Celebratory occasion,1
6176974003,4400587177,Demetra Kellen,morning,5/11/2023,Completed,Rosie Reggler,Unexpected car breakdown,1
9773896188,9304760356,Fayina Roper,evening,12/9/2022,Approved,Julie Lorraway,Illness,1
0268081425,9261367526,Etti Dinzey,evening,7/1/2023,Declined,Billye Shelliday,Attending a special event,1
6362561341,3673331469,Lucien Starten,evening,5/6/2023,Approved,Weber St. Pierre,Deadline for a project,1
9779514899,8106628159,Arden Vasyagin,evening,7/7/2023,Completed,Tedman Aylmer,Celebratory occasion,3
1162168315,8348963154,Kimbra Calderhead,evening,5/31/2023,Completed,Bernelle Bonson,Childcare responsibilities,1
8567532329,8127084905,Reta Capstick,morning,7/5/2023,Completed,Merl Jerred,Unexpected car breakdown,1
1443370290,1994627212,Gerick McAlees,evening,2/15/2023,Completed,Adelina Crauford,Overtime at another job,1
7633846364,1802574158,Brittaney Kedge,morning,6/7/2023,Completed,Carma Askem,Religious observance,2
2430913135,5813838023,Kore Tedman,evening,11/27/2022,Declined,Tomasine Urridge,Family celebration,2
4799468952,9148992372,Dillie Rodrigo,morning,1/23/2023,Pending,Barde McKennan,Shift conflicts with another job,2
2579575634,0675401518,Isa Dagnan,evening,8/23/2023,Pending,Amby Itzchaki,Celebratory occasion,2
4060465054,6747119541,Rees Szymczyk,morning,12/23/2022,Processing,Zea Roycroft,Last-minute travel,3
2925125859,4569560555,Dreddy Markwelley,evening,11/22/2022,Processing,Oralle Pyke,Traffic congestion,1
9872417423,0691268967,Kippie Stuckley,morning,11/5/2022,Pending,Elvira Stopher,Doctor's orders,2
4687794610,7458245166,Jacquelyn Cutcliffe,morning,12/9/2022,Completed,Brandie Lait,Volunteer commitment,2
5185717696,4244579699,Agna Van't Hoff,evening,4/15/2023,Approved,Michel Giurio,Unforeseen medical appointment,2
4237892700,3665899451,Dougie Keeler,morning,3/21/2023,Completed,Tory Smolan,Family celebration,1
1892045648,8229281297,Ogdon Raylton,morning,3/9/2023,Pending,Sonnie Yendall,Late shift at current job,2
5192506670,0322298105,Gayla Roebuck,morning,8/6/2023,Completed,Jerrilyn Habard,Childcare responsibilities,2
0156877031,3220120865,Randolf Stapleton,evening,1/9/2023,Completed,Reggie Chicken,Childcare responsibilities,1
5586660598,5628965995,Alvan Mordecai,evening,10/11/2022,Approved,Saunderson Gandrich,Important meeting,3
2187055698,4488962475,Tallie Rowen,morning,11/17/2022,Completed,Davide Lamberteschi,Family celebration,2
5696405592,6479469267,Lanni Bracci,morning,3/5/2023,Approved,Joey Awin,Unforeseen medical appointment,3
8367917863,7724876762,Gregorius Lode,morning,1/11/2023,Approved,Dwight Beek,Family celebration,1
2793901318,0884770370,Valry Sandford,evening,4/29/2023,Declined,Jewelle Hindmoor,Deadline for a project,1
3048542973,4538385085,Allegra Townsend,evening,4/14/2023,Processing,Kenn Leger,Traffic congestion,2
0500896399,6614349376,Marleen Duffer,evening,6/4/2023,Approved,Francisca Paradyce,Illness,1
8539626780,2753207917,Jammie Rhelton,morning,7/16/2023,Approved,Ogden Lorkings,Overtime at another job,2
6287180374,8489603774,Dru Edworthye,morning,7/22/2023,Pending,Shell Siuda,Attending a special event,2
6673229519,8279117563,Sayer Rymmer,morning,7/21/2023,Declined,Nolana Cobson,Doctor's orders,1
6322372882,6056025845,Aland Kiffe,morning,1/26/2023,Processing,Windham Bendel,Unforeseen medical appointment,2
7843819827,0392664348,Anastasia Henrot,morning,11/4/2022,Approved,Ardath Toyne,Deadline for a project,3
5257071509,9639211885,Betteanne Ramme,morning,11/9/2022,Completed,Viki Kinzel,Workshop or training session,1
1759989754,7315070869,Michel Kitcatt,evening,7/24/2023,Approved,Mendel Laurenzi,Vacation plans,3
2389603211,1092890718,Shandie Pirnie,morning,1/2/2023,Processing,Denna Amorine,Shift conflicts with another job,2
2790937656,2048669549,Miner Glentz,morning,10/28/2022,Completed,Isaac Scotford,Scheduling error,1
7973503366,6029534963,Ezequiel Groombridge,evening,9/24/2022,Pending,Evered Iacovucci,Shift conflicts with another job,2
2782093762,3380370207,Russ Ottam,morning,6/18/2023,Approved,Alverta Lettley,Attending a special event,3
4860759273,3768171485,Grange Lapsley,evening,8/2/2023,Declined,Marylee Worlock,Illness,3
6395390562,1515177726,Christoper Fabbri,evening,7/19/2023,Approved,Chris Geraud,Last-minute travel,2
8937987724,7722484506,Billy Gurko,morning,2/16/2023,Processing,Katherine Scotney,Traffic congestion,3
2410682928,5635804950,Bat Abbati,evening,8/26/2022,Completed,Florri Abbots,Family emergency,3
9495417902,3748149832,Maybelle Prettejohns,evening,10/27/2022,Completed,Connor Tuite,Vacation plans,3
9900105338,4138757996,Kendall Rainsden,morning,10/7/2022,Declined,Adeline Hospital,Workshop or training session,2
5883782272,3721038339,Rafaellle Silverson,morning,1/2/2023,Approved,Reid Wanless,School obligations,3
7357380300,5606919346,Elwira Mariyushkin,evening,7/13/2023,Approved,Laughton Coleiro,Religious observance,1
0215884183,4938103923,Elisa Kielty,evening,9/25/2022,Pending,Marlow Inderwick,Illness,2
9660017669,1091022143,Kerstin Clissett,evening,12/14/2022,Pending,Thatch Clell,Last-minute travel,3
5829801035,5611899242,Darill Heisham,morning,10/23/2022,Processing,Parker Necolds,Childcare responsibilities,3
8049714101,3569922340,Ray Blenkiron,evening,2/2/2023,Approved,Kari Goodey,Celebratory occasion,3
1315003643,9312790854,Kahaleel Schechter,morning,5/3/2023,Declined,Kristofor Whyatt,Late shift at current job,2
1295702371,8712729698,Didi Symson,evening,4/3/2023,Pending,Andrew Tregenza,Family emergency,2
9913146526,0858982056,Rena Geary,morning,3/25/2023,Completed,Consalve Kerwen,Childcare responsibilities,2
5488941398,3693544859,Susie Caulder,morning,12/5/2022,Approved,Saxe Leverson,Overtime at another job,3
8927496779,0838317340,Ysabel Gullefant,morning,7/23/2023,Approved,Anissa Laight,Overtime at another job,1
6973913075,2506555161,West Grumbridge,morning,11/23/2022,Completed,Vidovic Fasham,Emergency home repair,2
8315639331,6898614983,Tobias Holdron,morning,4/19/2023,Declined,Abagael Castelain,Emergency home repair,2
4164503270,5159469249,Teresina Dymock,evening,10/11/2022,Declined,Torrance Parnham,Unforeseen medical appointment,2
3181350222,2456051394,Crichton Arcase,morning,4/1/2023,Processing,Christian Lode,Unforeseen medical appointment,2
3851020286,5675699449,Kit Welberry,morning,1/25/2023,Approved,Rebekkah Bertlin,Workshop or training session,2
3010344481,4316127748,Bar Naisbet,morning,4/17/2023,Approved,Page Gabbitis,Late shift at current job,2
4053632005,7409308249,Sybila Alred,morning,10/18/2022,Declined,Irving Stouther,Late shift at current job,3
2917070854,2314075080,Anne Colter,morning,8/5/2023,Approved,Dorolisa Smallshaw,Workshop or training session,1
0197336825,3502602220,Bowie Filler,morning,4/13/2023,Completed,Yank Esherwood,Childcare responsibilities,3
5704669727,2618816595,Millicent Habbergham,morning,5/17/2023,Approved,Vernen Martinat,Emergency home repair,3
6399464706,7392519220,Verge Titcumb,evening,6/17/2023,Processing,Karyn Slaght,Unexpected car breakdown,3
3652526031,4436593169,Ashlie Siburn,morning,12/20/2022,Approved,Ewell Frondt,Celebratory occasion,1
6446682980,1614780811,Bernie Sancias,evening,8/20/2023,Declined,Auroora Croxton,Volunteer commitment,1
3682279156,8373472665,Demeter Neat,morning,3/10/2023,Pending,Oralie Blagdon,Religious observance,2
0572657137,9150884123,Quint Grenshields,evening,1/26/2023,Approved,Kattie Burlingham,Volunteer commitment,2
2580530665,5411642019,Jade Langeley,morning,7/6/2023,Approved,Christan McGorman,Late shift at current job,3
9615102296,3833223499,Clemente O'Fairy,evening,10/8/2022,Pending,Basil Beynon,Overtime at another job,3
4620511110,3085970193,Celestia Chudleigh,morning,2/13/2023,Processing,Dru Sandiford,Family emergency,2
3160727742,8434141825,Eduardo Leffek,evening,9/15/2022,Declined,Philippine Ragless,Doctor's orders,1
6553072523,9060808975,Nola Gallienne,evening,2/8/2023,Pending,Alonso Pelosi,Traffic congestion,2
4326772670,5502708071,Mattias Dimond,evening,11/20/2022,Approved,Wolfie Franschini,Unforeseen medical appointment,2
6793888668,7104823921,Gale Armal,morning,11/21/2022,Pending,Nettle Crowest,Overtime at another job,1
7729022338,5121432453,Burl Barnfield,evening,3/1/2023,Pending,Ewan Seifert,Deadline for a project,1
3689341566,3864827981,Prentiss Brannan,evening,12/16/2022,Processing,Xerxes Fairweather,Doctor's orders,2
8143670007,7808436860,Artemis Wing,evening,5/12/2023,Pending,Elle Pulsford,Transportation issues,1
0062315463,4954369967,Tildy Bolter,evening,3/19/2023,Approved,Paulo Loan,Transportation issues,1
4170295919,6938839654,Arlen Kimpton,morning,3/31/2023,Approved,Cynthie Andreotti,Shift conflicts with another job,3
5287103360,3640764862,Nisse Simka,morning,7/11/2023,Processing,Beret Spedding,Overtime at another job,1
7124072425,7441979617,Verina Gwinn,evening,4/20/2023,Pending,Ad Manclark,Overtime at another job,3
2358485187,2130423183,Derrek Curzon,evening,6/30/2023,Processing,Trefor Rawlings,Celebratory occasion,1
7471222182,4077399181,Elvira Berger,evening,9/10/2022,Processing,Webb Urry,Vacation plans,1
4768773311,5864632058,Binnie Baude,evening,11/20/2022,Completed,Kari Breche,Emergency home repair,2
4737920347,8157527880,Annamarie Tobin,evening,4/7/2023,Completed,Florry Lakes,Volunteer commitment,3
0218577060,4373578877,Alic Roberts,evening,12/8/2022,Completed,Michele Pannett,Family celebration,1
9063978707,7627807484,Jessy Skirvin,evening,1/15/2023,Processing,Jenna Hammon,Overtime at another job,3
5001307554,7519621839,Dylan Wearing,evening,6/8/2023,Declined,Stanwood Youster,Volunteer commitment,3
6072404456,5409079590,Orel Brasier,morning,1/6/2023,Processing,Gennifer Dockwray,Scheduling error,1
1301359793,9119324383,Karine Kanzler,morning,9/9/2022,Pending,Rachele Andrivot,Illness,1
9861565469,3749783799,Gina Rabb,evening,5/22/2023,Completed,Sherye Matelaitis,Attending a special event,1
3798609594,5120553516,Jacquette Fearnley,evening,11/30/2022,Approved,Kelwin Molfino,Volunteer commitment,1
7919860881,1769202056,Jordan McMichell,evening,2/7/2023,Completed,Corine Racine,Doctor's orders,2
5294465655,8667060720,Genni Malarkey,morning,1/3/2023,Completed,Gunther Dovey,Deadline for a project,1
5615145145,4787229222,Nadiya Bampton,evening,3/23/2023,Pending,Lorne Holbie,Overtime at another job,2
5467217364,6979264982,Hunfredo Fontell,morning,7/4/2023,Pending,Courtney Yurkov,Doctor's orders,3
1180504844,2228975389,Bertie Sinden,evening,10/6/2022,Processing,Ado Lydall,School obligations,2
7828593031,3631316445,Mariele Dossett,evening,5/24/2023,Completed,Andrei Palffy,Overtime at another job,2
8489739315,2586316037,Anthony Arkell,morning,6/11/2023,Declined,Sheeree Goldster,Overtime at another job,3
6173262789,9128770129,Nil Thow,morning,10/14/2022,Declined,Dolly Gregorowicz,Volunteer commitment,2
8631837598,6469295231,Jodee Cholwell,morning,7/11/2023,Declined,Marquita Eamer,Celebratory occasion,2
3717546260,1297854691,Estel Pasek,evening,6/19/2023,Approved,Lea Heatley,Last-minute travel,3
7456467641,4197460317,Sonya Skidmore,morning,7/11/2023,Completed,Rosalynd Burgiss,Attending a special event,1
4656764523,9153146530,Francklyn Dominick,morning,7/11/2023,Pending,Walther Adelberg,Transportation issues,1
9095398587,0517052881,Evanne Pearman,morning,8/23/2023,Completed,Donovan Lopez,Scheduling error,2
5656740722,3884204106,Leshia Richford,morning,2/18/2023,Approved,Bard MacCheyne,Important meeting,3
5698721440,4378041170,Leticia Kulicke,morning,8/30/2022,Approved,Lindie Hopfner,Shift conflicts with another job,3
8637860818,4002480909,Euell Mardell,evening,2/16/2023,Approved,Rafaelita Robson,Illness,3
8741867041,2672516588,Ali Maunsell,morning,12/24/2022,Pending,Mattias Masser,Overtime at another job,2
1159365849,2788662874,Charley MacNamee,evening,6/10/2023,Pending,Wallis Wherrit,Transportation issues,2
0418271712,6413720956,Waly Lynnett,morning,2/17/2023,Processing,Wallas Teissier,Scheduling error,2
2587122627,6396769840,Monique Cassar,evening,7/4/2023,Approved,Conn Jarvis,Traffic congestion,1
9598107612,6665463265,Jessalin Shurville,evening,10/19/2022,Pending,Elsbeth Aveyard,Vacation plans,1
4421479705,0758043120,Christian Baldung,morning,8/19/2023,Approved,Petunia ducarme,Scheduling error,3
6756759086,3193662585,Amata Salling,morning,8/21/2023,Completed,Candi Grayland,Scheduling error,1
6710359638,6799137230,Dickie Gossage,evening,4/28/2023,Pending,Ibby Americi,Personal appointment,1
2160979678,1102274909,Brnaby Orvis,morning,11/1/2022,Approved,Jerrilyn Patmore,Personal appointment,3
0087333090,8602331908,Rosie Mitie,evening,7/11/2023,Declined,Celie Napton,Unexpected car breakdown,3
6836020427,8028484433,Carlo Ludlam,morning,4/28/2023,Approved,Merilyn Thacke,Scheduling error,2
4561905235,7699012658,Granthem Linskey,evening,11/24/2022,Pending,Lloyd Mocquer,Childcare responsibilities,3
8426914209,9920573655,Denyse Sephton,morning,6/17/2023,Pending,Leslie Rizzillo,Vacation plans,1
9178117623,0955237211,Delaney Halburton,morning,7/11/2023,Declined,Cesya Alger,Traffic congestion,3
5794099488,7322810465,Greer Lovewell,evening,12/21/2022,Declined,Natalina Dodell,Traffic congestion,3
3978797038,5023979342,Welby Paradine,morning,2/18/2023,Pending,Genevieve Benardette,Illness,2
4285004437,3701442061,Jeth Daish,evening,8/21/2023,Processing,Claudius Leverett,Family emergency,1
0392441640,4263555449,Rona Comellini,morning,1/10/2023,Pending,Arabela Ellen,Personal appointment,1
5307875665,5055744448,Ganny Cristofori,evening,2/11/2023,Declined,Jere Stellman,Traffic congestion,3
5629483765,3049344296,Sabine Boughey,evening,3/5/2023,Declined,Keith Sobieski,Personal appointment,3
7138980566,9626513543,Ferd Haggar,morning,4/29/2023,Approved,Judie Enticknap,Doctor's orders,2
9021399113,8142294443,Artemis Proffer,evening,6/3/2023,Declined,Ora Burbury,Attending a special event,1
6109887498,1465207317,Jodie Twizell,morning,1/2/2023,Completed,Vinny Gebbie,Childcare responsibilities,2
6604721795,7322194373,Jacky Thredder,morning,12/25/2022,Approved,Ashlen Daniello,Family celebration,3
5320677596,8352063545,Joachim O'Donovan,morning,10/16/2022,Completed,Clare Clemmey,Attending a special event,2
6921141012,7552709189,Xena Maren,morning,5/21/2023,Approved,Louisa Veryard,Traffic congestion,3
6144547223,6217170221,Margaret Fyldes,evening,11/9/2022,Declined,Vernen Geffinger,Scheduling error,2
5268809687,5958964542,Shay Bownas,evening,5/28/2023,Completed,Ferdinanda Jaxon,Celebratory occasion,1
8873419771,1292125926,Paulita Kirsche,evening,2/20/2023,Processing,Chastity Heine,Religious observance,3
8314550434,2783259524,Obie Locks,evening,6/19/2023,Completed,Libby Aujean,Scheduling error,2
5737384756,1944495096,Clarissa Edinborough,morning,10/31/2022,Declined,Alleyn Dallan,Unforeseen medical appointment,2
4734989133,9673524041,Heloise Ruppertz,morning,6/24/2023,Approved,Alysa Dewbury,Illness,2
2909951219,3788161752,Ellene Sweed,evening,8/17/2023,Pending,Harlen Hupe,Religious observance,3
1830595083,0412497530,Clair Muff,evening,5/13/2023,Completed,Mandie Welbrock,Vacation plans,1
6300670929,6783104516,Lila Lovel,morning,3/16/2023,Processing,Reilly McGebenay,Volunteer commitment,1
4570108814,1647613434,Matilde MacMenamy,evening,6/27/2023,Approved,Martie Orris,School obligations,1
5397556246,7304929960,Cyb Oglethorpe,morning,1/31/2023,Declined,Dianne Hugueville,Vacation plans,3
6453420457,9273175554,Osmond Jobey,morning,6/6/2023,Completed,Constantin Lewisham,Unforeseen medical appointment,2
0129920266,5044642878,Marshall Stefi,evening,7/15/2023,Declined,Malachi Lenden,Scheduling error,1
8456848360,6018441098,Loren O'Conor,morning,10/19/2022,Processing,Goldia Dankersley,Family celebration,3
3300682827,0351873694,Salomon Markel,morning,10/22/2022,Pending,Clementina Caramuscia,Volunteer commitment,2
6099160329,4153699918,Blondie Wetherhead,evening,12/2/2022,Pending,Ira Auden,Shift conflicts with another job,1
2691737594,8227672647,Nadean Whyler,evening,1/24/2023,Declined,Salomon Grigorey,Traffic congestion,3
7706028917,6111769286,Nadeen Crouse,morning,5/27/2023,Completed,Kalina Baron,School obligations,3
1663225168,5487764883,Benoit Kulic,evening,2/15/2023,Processing,Mozes Surgener,Personal appointment,2
5981831030,1914533097,Clari Dinnies,morning,6/30/2023,Declined,Boy Rodden,Volunteer commitment,2
7157622351,6097547951,Sonnie Baskeyfield,evening,11/28/2022,Declined,Barrett Pascall,Celebratory occasion,3
